Ingestion Order,Shelf Mark,Volume,PID,Create Date,File Name (.PDF),Path,File Size (MB),LSID
201,Playbills 233 ,Playbills 233 (1),470693,27 de sep de 10,015363451_830_Playbills 233 (1),/2010/09/27/file_7/470693,"128,74",41b2e0b8
202,Playbills 233 ,Playbills 233 (2),470906,27 de sep de 10,015363451_1042_Playbills 233 (2),/2010/09/27/file_7/470906,"195,85",41b2db90
200,Playbills 234 ,Playbills 234 (1),470238,27 de sep de 10,015363456_376_Playbills 234 (1),/2010/09/27/file_7/470238,"146,88",41b2b5bd
199,Playbills 234 ,Playbills 234 (2),469876,27 de sep de 10,015363456_15_Playbills 234 (2),/2010/09/27/file_6/469876,"165,81",41b2da68
19,Playbills 24,Playbills 24,382130,8 de sep de 10,014940196_593_Playbills 24,/2010/09/08/file_3/382130,"103,65",3f9d0a1e
22,Playbills 25,Playbills 25,383407,9 de sep de 10,014940390_480_Playbills 25,/2010/09/09/file_1/383407,"124,8",3f9db960
204,Playbills 252 ,Playbills 252 (1),471552,27 de sep de 10,015387266_1686_Playbills 252 (1),/2010/09/27/file_8/471552,"112,63",41b2df88
205,Playbills 252 ,Playbills 252 (2),471816,27 de sep de 10,015387266_1949_Playbills 252 (2),/2010/09/27/file_8/471816,"147,32",41b2de46
75,Playbills 26 ,Playbills 26 (1),427067,20 de sep de 10,014940417_1392_Playbills 26 (1),/2010/09/20/file_8/427067,"67,71",3fa2ce6a
72,Playbills 26 ,Playbills 26 (2),426128,20 de sep de 10,014940417_456_Playbills 26 (2),/2010/09/20/file_7/426128,"294,01",3fa2d0b5
209,Playbills 262 ,Playbills 262 (1),473468,27 de sep de 10,015387276_1105_Playbills 262 (1),/2010/09/27/file_10/473468,"134,7",41bb0d27
208,Playbills 262 ,Playbills 262 (2),472817,27 de sep de 10,015387276_455_Playbills 262 (2),/2010/09/27/file_9/472817,"187,47",41bb0b85
213,Playbills 262 ,Playbills 262 (3),474762,27 de sep de 10,015387276_2395_Playbills 262 (3),/2010/09/27/file_11/474762,"320,04",41bb0ecd
211,Playbills 263 ,Playbills 263 (1),474258,27 de sep de 10,015387285_1893_Playbills 263 (1),/2010/09/27/file_11/474258,"147,24",41bb05c1
212,Playbills 263 ,Playbills 263 (2),474304,27 de sep de 10,015387285_1938_Playbills 263 (2),/2010/09/27/file_11/474304,"189,79",41bb1027
210,Playbills 264 ,Playbills 264 (1),473614,27 de sep de 10,015387361_1250_Playbills 264 (1),/2010/09/27/file_10/473614,"150,7",41bb1191
207,Playbills 264 ,Playbills 264 (2),472404,27 de sep de 10,015387361_43_Playbills 264 (2),/2010/09/27/file_9/472404,"116,45",41bb0488
215,Playbills 266,Playbills 266,475671,28 de sep de 10,015395299_697_Playbills 266,/2010/09/28/file_1/475671,"204,64",41bb131f
23,Playbills 27,Playbills 27,383561,9 de sep de 10,015101665_633_Playbills 27,/2010/09/09/file_1/383561,"451,67",3f9db65c
222,Playbills 276 ,Playbills 276 (1),477889,28 de sep de 10,015395327_2908_Playbills 276 (1),/2010/09/28/file_3/477889,"175,45",41bb2436
218,Playbills 276 ,Playbills 276 (2),476663,28 de sep de 10,015395327_1686_Playbills 276 (2),/2010/09/28/file_2/476663,"205,46",41bb2034
224,Playbills 278 ,Playbills 278 (1),478326,28 de sep de 10,015395338_3343_Playbills 278 (1),/2010/09/28/file_4/478326,"206,05",41bb1921
223,Playbills 278 ,Playbills 278 (2),478252,28 de sep de 10,015395338_3270_Playbills 278 (2),/2010/09/28/file_4/478252,"229,74",41bb1eee
24,Playbills 28,Playbills 28,384027,9 de sep de 10,015101729_1098_Playbills 28,/2010/09/09/file_2/384027,"329,69",3f9db80f
219,Playbills 280 ,Playbills 280 (1),476843,28 de sep de 10,015395353_1865_Playbills 280 (1),/2010/09/28/file_2/476843,"193,77",41bb21dc
214,Playbills 280 ,Playbills 280 (2),475276,28 de sep de 10,015395353_303_Playbills 280 (2),/2010/09/28/file_1/475276,"275,98",42bb22cd
221,Playbills 282,Playbills 282,477418,28 de sep de 10,015395374_2438_Playbills 282,/2010/09/28/file_3/477418,"231,46",41bb1d3f
216,Playbills 283,Playbills 283,475972,28 de sep de 10,015395443_997_Playbills 283,/2010/09/28/file_1/475972,"372,96",41bb1a4f
217,Playbills 285 ,Playbills 285 (1),476487,28 de sep de 10,015395448_1511_Playbills 285 (1),/2010/09/28/file_2/476487,"139,95",41bb1c22
220,Playbills 285 ,Playbills 285 (2),477130,28 de sep de 10,015395448_2151_Playbills 285 (2),/2010/09/28/file_3/477130,"130,82",41bb2544
230,Playbills 287,Playbills 287,480264,28 de sep de 10,015395459_1669_Playbills 287,/2010/09/28/file_6/480264,"278,3",41bb338c
25,Playbills 29,Playbills 29,384684,13 de sep de 10,015101735_120_Playbills 29,/2010/09/13/file_1/384684,"276,99",3f9dbdb9
225,Playbills 291 ,Playbills 291 (1),478616,28 de sep de 10,015395465_26_Playbills 291 (1),/2010/09/28/file_4/478616,"172,81",41bb17d4
226,Playbills 291 ,Playbills 291 (2),479217,28 de sep de 10,015395465_626_Playbills 291 (2),/2010/09/28/file_5/479217,"201,76",41bb3b85
227,Playbills 297 ,Playbills 297 (1),479508,28 de sep de 10,015395477_916_Playbills 297 (1),/2010/09/28/file_5/479508,"123,32",41bb4047
229,Playbills 297 ,Playbills 297 (2),479867,28 de sep de 10,015395477_1273_Playbills 297 (2),/2010/09/28/file_5/479867,"272,18",41bb3f1c
1,Playbills 3,Playbills 3,373391,2 de sep de 10,015376986_187_Playbills 3,/2010/09/02/file_1/373391,"41,87",3f9b93cd
26,Playbills 30,Playbills 30,384996,13 de sep de 10,015102020_431_Playbills 30,/2010/09/13/file_1/384996,"87,65",3f9dbea7
228,Playbills 306 ,Playbills 306 (1),479627,28 de sep de 10,015395732_1034_Playbills 306 (1),/2010/09/28/file_5/479627,"128,91",41bb3cbe
231,Playbills 306 ,Playbills 306 (2),480775,28 de sep de 10,015395732_2179_Playbills 306 (2),/2010/09/28/file_6/480775,"131,91",41bb3a56
316,Playbills 324,Playbills 324,514476,20 de oct de 10,015404230_583_Playbills 324,/2010/10/20/file_1/514476,"377,16",4332b851
