title,author,place_production,date,extents,credits_note,subjects,summary,detail,link
"FRASERS' RETURN, the.",Films of Scotland Committee,[Place of production not identified]  : ,1963,['(16.15 mins) : '],"Director, d. Harvey Harrison ; Producer, Ace Film Production.",Children and Infants -- Construction and Engineering -- Food and Drink -- Power Resources -- Tourism and Travel -- Transport -- Dumfriesshire -- Fife -- Glasgow -- Renfrewshire -- Stirlingshire -- sponsored -- promotional,"A Scots-Canadian emigrant family on their first return visit to Scotland, where they see industrial improvement due to the Scottish Electric Grid.  ","sound, colour",http://movingimage.nls.uk/film/0038
UP-STREAM: A Story of the Scottish Salmon Fisheries.,,[Place of production not identified]  : ,1932,['(17 mins) : '],"Director, d. Arthur Elton ; Producer, Empire Marketing Board.",Agriculture -- Animals -- Fish and Fishing -- Fishing Boats -- Transport -- documentary,"Produced by John Grierson, the film shows the different methods of salmon fishing in Scotland. ","sound, black and white",http://movingimage.nls.uk/film/0039
NEW LEASE OF LIFE.,,[Place of production not identified]  : ,1960,['(24 mins) : '],"Director, d. Guy Blanchard ; Producer, Editorial Films.","Employment, Industry and Industrial Relations -- Healthcare","Film looks at how a group of people are helped to return to work after illness and long absence, by attending the Industrial Rehabilitation Unit at Wadden in London. ","sound, black and white",http://movingimage.nls.uk/film/0040
"BRITISH MOVIETONE NEWS No. 227A, MOVIETONE PRESENTS THE LAUNCH OF THE 'QUEEN MARY'.",,[Place of production not identified]  : ,1934,['(7.34 mins) : '],,Ceremonies -- Royalty -- Ships and Shipping -- newsreel,"The launch of the liner ""Queen Mary"" at John Brown's shipyard, Clydebank, by King George V and Queen Mary. ","silent, black and white",http://movingimage.nls.uk/film/0041
[ABERDEEN 1906].,"GRAY, Alexander ‘Joe’",[Place of production not identified]  : ,1906,['(22.44 mins) : '],"Producer, Walker & Company  [Walker's Royal Cinematograph].","British Empire, the -- Celebrations, Traditions and Customs -- Education -- Royalty -- Aberdeen -- local topical",Footage of 27th September 1906 when King Edward VII and Queen Alexandra visited Aberdeen to open new extension to Marischal College Aberdeen University.,"silent, black and white",http://movingimage.nls.uk/film/0042
ABERDEEN 1906.,,[Place of production not identified]  : ,1906,['(11.00 mins) : '],"Producer, Scottish Film Council  [Walker's Royal Cinematograph].",,"King Edward and Queen Alexandra open the new extension to Marischal College, during Aberdeen University's 4th centenary celebrations.  Lord Provost Lyon is knighted.  [sound version made in 1956] ","sound, black and white",http://movingimage.nls.uk/film/0042A
(LARGS SUMMER SEASON 1936).,,[Place of production not identified]  : ,1936,['(8.00 mins) : '],"Director, [attributed to  George West].",Leisure and Recreation -- Ayrshire -- amateur -- home movies and videos,"A Concert at Barrfield Pavilion, Largs.  Concert party includes variety artists George West and Jack E. Raymond. Film includes shots of naval ratings marching through Largs followed by cart laden with kit bags. [Incomplete]  ","silent, black and white",http://movingimage.nls.uk/film/0043
GLASGOW AND THE CLYDE COAST.,,[Place of production not identified]  : ,1912,['(11.00 mins) : '],"Producer, Glasgow Film Society.",Children and Infants -- Ferries -- Leisure and Recreation -- Paddle Steamers -- Glasgow,"Holidaymakers setting out from Glasgow, and travelling by train and steamer down the coast to Rothesay and Ettrick Bay.  Includes tracking shots from tram in Sauchiehall Street. ","silent, black and white",http://movingimage.nls.uk/film/0044
"BRITISH MOVIETONE NEWS No 465A, HIS MAJESTY OPENS EMPIRE EXHIBITION.",,[Place of production not identified]  : ,1938,['(10.00 mins) : '],"Producer, British Movietone News.","Aircraft see also Helicopters -- Architecture and Buildings -- British Empire, the -- Ceremonies -- Royalty -- Glasgow -- newsreel","King George VI and Queen Elizabeth at Ibrox Stadium Glasgow, to open the Empire Exhibition.  Walter Elliot and Sir James Lithgow are present.  ","sound, black and white",http://movingimage.nls.uk/film/0045
"LANIMER DAY, LANARK.",,[Place of production not identified]  : ,1960,['(10.00 mins) : '],"Producer, Thames and Clyde Film Productions.","Celebrations, Traditions and Customs -- Ceremonies -- Lanarkshire -- newsreel",Lanark's Lanimer Day glimpsed through the years. Shots of a procession through the streets with some of the people carrying 'birks' (twigs).  The Lanimer Queen is chosen.  ,"sound, black and white",http://movingimage.nls.uk/film/0046
